class,func
Coroutine,send
Coroutine,throw
Coroutine,close
Generator,send
Generator,throw
Generator,close
Set,isdisjoint
MutableSet,add
MutableSet,discard
MutableSet,remove
MutableSet,pop
MutableSet,clear
Mapping,get
Mapping,keys
Mapping,items
Mapping,values
MutableMapping,pop
MutableMapping,popitem
MutableMapping,clear
MutableMapping,update
MutableMapping,setdefault
Sequence,index
Sequence,count
MutableSequence,insert
MutableSequence,append
MutableSequence,clear
MutableSequence,reverse
MutableSequence,extend
MutableSequence,pop
MutableSequence,remove
