class,func
None,getcontext
None,setcontext
None,localcontext
DecimalException,handle
InvalidOperation,handle
ConversionSyntax,handle
DivisionByZero,handle
DivisionImpossible,handle
DivisionUndefined,handle
InvalidContext,handle
Overflow,handle
Decimal,from_float
Decimal,compare
Decimal,as_tuple
Decimal,as_integer_ratio
Decimal,to_eng_string
Decimal,remainder_near
Decimal,real
Decimal,imag
Decimal,conjugate
Decimal,fma
Decimal,normalize
Decimal,quantize
Decimal,same_quantum
Decimal,to_integral_exact
Decimal,to_integral_value
Decimal,sqrt
Decimal,max
Decimal,min
Decimal,adjusted
Decimal,canonical
Decimal,compare_signal
Decimal,compare_total
Decimal,compare_total_mag
Decimal,copy_abs
Decimal,copy_negate
Decimal,copy_sign
Decimal,exp
Decimal,is_canonical
Decimal,is_finite
Decimal,is_infinite
Decimal,is_nan
Decimal,is_normal
Decimal,is_qnan
Decimal,is_signed
Decimal,is_snan
Decimal,is_subnormal
Decimal,is_zero
Decimal,ln
Decimal,log10
Decimal,logb
Decimal,logical_and
Decimal,logical_invert
Decimal,logical_or
Decimal,logical_xor
Decimal,max_mag
Decimal,min_mag
Decimal,next_minus
Decimal,next_plus
Decimal,next_toward
Decimal,number_class
Decimal,radix
Decimal,rotate
Decimal,scaleb
Decimal,shift
Context,clear_flags
Context,clear_traps
Context,copy
Context,Etiny
Context,Etop
Context,create_decimal
Context,create_decimal_from_float
Context,abs
Context,add
Context,canonical
Context,compare
Context,compare_signal
Context,compare_total
Context,compare_total_mag
Context,copy_abs
Context,copy_decimal
Context,copy_negate
Context,copy_sign
Context,divide
Context,divide_int
Context,divmod
Context,exp
Context,fma
Context,is_canonical
Context,is_finite
Context,is_infinite
Context,is_nan
Context,is_normal
Context,is_qnan
Context,is_signed
Context,is_snan
Context,is_subnormal
Context,is_zero
Context,ln
Context,log10
Context,logb
Context,logical_and
Context,logical_invert
Context,logical_or
Context,logical_xor
Context,max
Context,max_mag
Context,min
Context,min_mag
Context,minus
Context,multiply
Context,next_minus
Context,next_plus
Context,next_toward
Context,normalize
Context,number_class
Context,plus
Context,power
Context,quantize
Context,radix
Context,remainder
Context,remainder_near
Context,rotate
Context,same_quantum
Context,scaleb
Context,shift
Context,sqrt
Context,subtract
Context,to_eng_string
Context,to_sci_string
Context,to_integral_exact
Context,to_integral_value
_Log10Memoize,getdigits
