class,func
None,open
IOBase,seek
IOBase,tell
IOBase,truncate
IOBase,flush
IOBase,close
IOBase,seekable
IOBase,readable
IOBase,writable
IOBase,closed
IOBase,fileno
IOBase,isatty
IOBase,readline
IOBase,readlines
IOBase,writelines
RawIOBase,read
RawIOBase,readall
RawIOBase,readinto
RawIOBase,write
BufferedIOBase,read
BufferedIOBase,read1
BufferedIOBase,readinto
BufferedIOBase,readinto1
BufferedIOBase,write
BufferedIOBase,detach
_BufferedIOMixin,seek
_BufferedIOMixin,tell
_BufferedIOMixin,truncate
_BufferedIOMixin,flush
_BufferedIOMixin,close
_BufferedIOMixin,detach
_BufferedIOMixin,seekable
_BufferedIOMixin,raw
_BufferedIOMixin,closed
_BufferedIOMixin,name
_BufferedIOMixin,mode
_BufferedIOMixin,fileno
_BufferedIOMixin,isatty
BytesIO,getvalue
BytesIO,getbuffer
BytesIO,close
BytesIO,read
BytesIO,read1
BytesIO,write
BytesIO,seek
BytesIO,tell
BytesIO,truncate
BytesIO,readable
BytesIO,writable
BytesIO,seekable
BufferedReader,readable
BufferedReader,read
BufferedReader,peek
BufferedReader,read1
BufferedReader,tell
BufferedReader,seek
BufferedWriter,writable
BufferedWriter,write
BufferedWriter,truncate
BufferedWriter,flush
BufferedWriter,tell
BufferedWriter,seek
BufferedWriter,close
BufferedRWPair,read
BufferedRWPair,readinto
BufferedRWPair,write
BufferedRWPair,peek
BufferedRWPair,read1
BufferedRWPair,readinto1
BufferedRWPair,readable
BufferedRWPair,writable
BufferedRWPair,flush
BufferedRWPair,close
BufferedRWPair,isatty
BufferedRWPair,closed
BufferedRandom,seek
BufferedRandom,tell
BufferedRandom,truncate
BufferedRandom,read
BufferedRandom,readinto
BufferedRandom,peek
BufferedRandom,read1
BufferedRandom,readinto1
BufferedRandom,write
FileIO,read
FileIO,readall
FileIO,readinto
FileIO,write
FileIO,seek
FileIO,tell
FileIO,truncate
FileIO,close
FileIO,seekable
FileIO,readable
FileIO,writable
FileIO,fileno
FileIO,isatty
FileIO,closefd
FileIO,mode
TextIOBase,read
TextIOBase,write
TextIOBase,truncate
TextIOBase,readline
TextIOBase,detach
TextIOBase,encoding
TextIOBase,newlines
TextIOBase,errors
IncrementalNewlineDecoder,decode
IncrementalNewlineDecoder,getstate
IncrementalNewlineDecoder,setstate
IncrementalNewlineDecoder,reset
IncrementalNewlineDecoder,newlines
TextIOWrapper,encoding
TextIOWrapper,errors
TextIOWrapper,line_buffering
TextIOWrapper,write_through
TextIOWrapper,buffer
TextIOWrapper,reconfigure
TextIOWrapper,seekable
TextIOWrapper,readable
TextIOWrapper,writable
TextIOWrapper,flush
TextIOWrapper,close
TextIOWrapper,closed
TextIOWrapper,name
TextIOWrapper,fileno
TextIOWrapper,isatty
TextIOWrapper,write
TextIOWrapper,tell
TextIOWrapper,truncate
TextIOWrapper,detach
TextIOWrapper,seek
TextIOWrapper,read
TextIOWrapper,readline
TextIOWrapper,newlines
StringIO,getvalue
StringIO,errors
StringIO,encoding
StringIO,detach
