class,func
None,open
None,openfp
Aifc_read,initfp
Aifc_read,getfp
Aifc_read,rewind
Aifc_read,close
Aifc_read,tell
Aifc_read,getnchannels
Aifc_read,getnframes
Aifc_read,getsampwidth
Aifc_read,getframerate
Aifc_read,getcomptype
Aifc_read,getcompname
Aifc_read,getparams
Aifc_read,getmarkers
Aifc_read,getmark
Aifc_read,setpos
Aifc_read,readframes
Aifc_write,initfp
Aifc_write,aiff
Aifc_write,aifc
Aifc_write,setnchannels
Aifc_write,getnchannels
Aifc_write,setsampwidth
Aifc_write,getsampwidth
Aifc_write,setframerate
Aifc_write,getframerate
Aifc_write,setnframes
Aifc_write,getnframes
Aifc_write,setcomptype
Aifc_write,getcomptype
Aifc_write,getcompname
Aifc_write,setparams
Aifc_write,getparams
Aifc_write,setmark
Aifc_write,getmark
Aifc_write,getmarkers
Aifc_write,tell
Aifc_write,writeframesraw
Aifc_write,writeframes
Aifc_write,close
