class,func
HelpFormatter,start_section
HelpFormatter,end_section
HelpFormatter,add_text
HelpFormatter,add_usage
HelpFormatter,add_argument
HelpFormatter,add_arguments
HelpFormatter,format_help
_SubParsersAction,add_parser
_ActionsContainer,register
_ActionsContainer,set_defaults
_ActionsContainer,get_default
_ActionsContainer,add_argument
_ActionsContainer,add_argument_group
_ActionsContainer,add_mutually_exclusive_group
ArgumentParser,add_subparsers
ArgumentParser,parse_args
ArgumentParser,parse_known_args
ArgumentParser,convert_arg_line_to_args
ArgumentParser,parse_intermixed_args
ArgumentParser,parse_known_intermixed_args
ArgumentParser,format_usage
ArgumentParser,format_help
ArgumentParser,print_usage
ArgumentParser,print_help
ArgumentParser,exit
ArgumentParser,error
