class,func
BaseSelectorEventLoop,close
BaseSelectorEventLoop,add_reader
BaseSelectorEventLoop,remove_reader
BaseSelectorEventLoop,add_writer
BaseSelectorEventLoop,remove_writer
_SelectorTransport,abort
_SelectorTransport,set_protocol
_SelectorTransport,get_protocol
_SelectorTransport,is_closing
_SelectorTransport,close
_SelectorTransport,get_write_buffer_size
_SelectorSocketTransport,set_protocol
_SelectorSocketTransport,is_reading
_SelectorSocketTransport,pause_reading
_SelectorSocketTransport,resume_reading
_SelectorSocketTransport,write
_SelectorSocketTransport,write_eof
_SelectorSocketTransport,can_write_eof
_SelectorDatagramTransport,get_write_buffer_size
_SelectorDatagramTransport,sendto
