class,func
None,factory
FlowControlMixin,pause_writing
FlowControlMixin,resume_writing
FlowControlMixin,connection_lost
StreamReaderProtocol,connection_made
StreamReaderProtocol,connection_lost
StreamReaderProtocol,data_received
StreamReaderProtocol,eof_received
StreamWriter,transport
StreamWriter,write
StreamWriter,writelines
StreamWriter,write_eof
StreamWriter,can_write_eof
StreamWriter,close
StreamWriter,is_closing
StreamWriter,get_extra_info
StreamReader,exception
StreamReader,set_exception
StreamReader,set_transport
StreamReader,feed_eof
StreamReader,at_eof
StreamReader,feed_data
