class,func
BaseTransport,get_extra_info
BaseTransport,is_closing
BaseTransport,close
BaseTransport,set_protocol
BaseTransport,get_protocol
ReadTransport,is_reading
ReadTransport,pause_reading
ReadTransport,resume_reading
WriteTransport,set_write_buffer_limits
WriteTransport,get_write_buffer_size
WriteTransport,write
WriteTransport,writelines
WriteTransport,write_eof
WriteTransport,can_write_eof
WriteTransport,abort
DatagramTransport,sendto
DatagramTransport,abort
SubprocessTransport,get_pid
SubprocessTransport,get_returncode
SubprocessTransport,get_pipe_transport
SubprocessTransport,send_signal
SubprocessTransport,terminate
SubprocessTransport,kill
_FlowControlMixin,get_write_buffer_limits
_FlowControlMixin,set_write_buffer_limits
_FlowControlMixin,get_write_buffer_size
