class,func
TransportSocket,family
TransportSocket,type
TransportSocket,proto
TransportSocket,fileno
TransportSocket,dup
TransportSocket,get_inheritable
TransportSocket,shutdown
TransportSocket,getsockopt
TransportSocket,setsockopt
TransportSocket,getpeername
TransportSocket,getsockname
TransportSocket,getsockbyname
TransportSocket,accept
TransportSocket,connect
TransportSocket,connect_ex
TransportSocket,bind
TransportSocket,ioctl
TransportSocket,listen
TransportSocket,makefile
TransportSocket,sendfile
TransportSocket,close
TransportSocket,detach
TransportSocket,sendmsg_afalg
TransportSocket,sendmsg
TransportSocket,sendto
TransportSocket,send
TransportSocket,sendall
TransportSocket,set_inheritable
TransportSocket,share
TransportSocket,recv_into
TransportSocket,recvfrom_into
TransportSocket,recvmsg_into
TransportSocket,recvmsg
TransportSocket,recvfrom
TransportSocket,recv
TransportSocket,settimeout
TransportSocket,gettimeout
TransportSocket,setblocking
