class,func
None,isleap
None,leapdays
None,weekday
None,monthrange
None,setfirstweekday
None,format
None,formatstring
None,timegm
None,main
Calendar,getfirstweekday
Calendar,setfirstweekday
Calendar,iterweekdays
Calendar,itermonthdates
Calendar,itermonthdays
Calendar,itermonthdays2
Calendar,itermonthdays3
Calendar,itermonthdays4
Calendar,monthdatescalendar
Calendar,monthdays2calendar
Calendar,monthdayscalendar
Calendar,yeardatescalendar
Calendar,yeardays2calendar
Calendar,yeardayscalendar
TextCalendar,prweek
TextCalendar,formatday
TextCalendar,formatweek
TextCalendar,formatweekday
TextCalendar,formatweekheader
TextCalendar,formatmonthname
TextCalendar,prmonth
TextCalendar,formatmonth
TextCalendar,formatyear
TextCalendar,pryear
HTMLCalendar,formatday
HTMLCalendar,formatweek
HTMLCalendar,formatweekday
HTMLCalendar,formatweekheader
HTMLCalendar,formatmonthname
HTMLCalendar,formatmonth
HTMLCalendar,formatyear
HTMLCalendar,formatyearpage
LocaleTextCalendar,formatweekday
LocaleTextCalendar,formatmonthname
LocaleHTMLCalendar,formatweekday
LocaleHTMLCalendar,formatmonthname
