class,func
None,open
None,EncodedFile
None,getencoder
None,getdecoder
None,getincrementalencoder
None,getincrementaldecoder
None,getreader
None,getwriter
None,iterencode
None,iterdecode
None,make_identity_dict
None,make_encoding_map
Codec,encode
Codec,decode
IncrementalEncoder,encode
IncrementalEncoder,reset
IncrementalEncoder,getstate
IncrementalEncoder,setstate
BufferedIncrementalEncoder,encode
BufferedIncrementalEncoder,reset
BufferedIncrementalEncoder,getstate
BufferedIncrementalEncoder,setstate
IncrementalDecoder,decode
IncrementalDecoder,reset
IncrementalDecoder,getstate
IncrementalDecoder,setstate
BufferedIncrementalDecoder,decode
BufferedIncrementalDecoder,reset
BufferedIncrementalDecoder,getstate
BufferedIncrementalDecoder,setstate
StreamWriter,write
StreamWriter,writelines
StreamWriter,reset
StreamWriter,seek
StreamReader,decode
StreamReader,read
StreamReader,readline
StreamReader,readlines
StreamReader,reset
StreamReader,seek
StreamReaderWriter,read
StreamReaderWriter,readline
StreamReaderWriter,readlines
StreamReaderWriter,write
StreamReaderWriter,writelines
StreamReaderWriter,reset
StreamReaderWriter,seek
StreamRecoder,read
StreamRecoder,readline
StreamRecoder,readlines
StreamRecoder,write
StreamRecoder,writelines
StreamRecoder,reset
StreamRecoder,seek
