class,func
None,namedtuple
OrderedDict,clear
OrderedDict,popitem
OrderedDict,move_to_end
OrderedDict,keys
OrderedDict,items
OrderedDict,values
OrderedDict,pop
OrderedDict,setdefault
OrderedDict,copy
OrderedDict,fromkeys
Counter,most_common
Counter,elements
Counter,fromkeys
Counter,update
Counter,subtract
Counter,copy
ChainMap,get
ChainMap,fromkeys
ChainMap,copy
ChainMap,new_child
ChainMap,parents
ChainMap,popitem
ChainMap,pop
ChainMap,clear
UserDict,copy
UserDict,fromkeys
UserList,append
UserList,insert
UserList,pop
UserList,remove
UserList,clear
UserList,copy
UserList,count
UserList,index
UserList,reverse
UserList,sort
UserList,extend
UserString,capitalize
UserString,casefold
UserString,center
UserString,count
UserString,encode
UserString,endswith
UserString,expandtabs
UserString,find
UserString,format
UserString,format_map
UserString,index
UserString,isalpha
UserString,isalnum
UserString,isascii
UserString,isdecimal
UserString,isdigit
UserString,isidentifier
UserString,islower
UserString,isnumeric
UserString,isprintable
UserString,isspace
UserString,istitle
UserString,isupper
UserString,join
UserString,ljust
UserString,lower
UserString,lstrip
UserString,partition
UserString,replace
UserString,rfind
UserString,rindex
UserString,rjust
UserString,rpartition
UserString,rstrip
UserString,split
UserString,rsplit
UserString,splitlines
UserString,startswith
UserString,strip
UserString,swapcase
UserString,title
UserString,translate
UserString,upper
UserString,zfill
