class,func
None,as_completed
None,wait
_Waiter,add_result
_Waiter,add_exception
_Waiter,add_cancelled
_AsCompletedWaiter,add_result
_AsCompletedWaiter,add_exception
_AsCompletedWaiter,add_cancelled
_FirstCompletedWaiter,add_result
_FirstCompletedWaiter,add_exception
_FirstCompletedWaiter,add_cancelled
_AllCompletedWaiter,add_result
_AllCompletedWaiter,add_exception
_AllCompletedWaiter,add_cancelled
Future,cancel
Future,cancelled
Future,running
Future,done
Future,add_done_callback
Future,result
Future,exception
Future,set_running_or_notify_cancel
Future,set_result
Future,set_exception
Executor,submit
Executor,map
Executor,shutdown
