class,func
timedelta,total_seconds
timedelta,days
timedelta,seconds
timedelta,microseconds
date,fromtimestamp
date,today
date,fromordinal
date,fromisoformat
date,fromisocalendar
date,ctime
date,strftime
date,isoformat
date,year
date,month
date,day
date,timetuple
date,toordinal
date,replace
date,weekday
date,isoweekday
date,isocalendar
tzinfo,tzname
tzinfo,utcoffset
tzinfo,dst
tzinfo,fromutc
time,hour
time,minute
time,second
time,microsecond
time,tzinfo
time,fold
time,isoformat
time,fromisoformat
time,strftime
time,utcoffset
time,tzname
time,dst
time,replace
datetime,hour
datetime,minute
datetime,second
datetime,microsecond
datetime,tzinfo
datetime,fold
datetime,fromtimestamp
datetime,utcfromtimestamp
datetime,now
datetime,utcnow
datetime,combine
datetime,fromisoformat
datetime,timetuple
datetime,timestamp
datetime,utctimetuple
datetime,date
datetime,time
datetime,timetz
datetime,replace
datetime,astimezone
datetime,ctime
datetime,isoformat
datetime,strptime
datetime,utcoffset
datetime,tzname
datetime,dst
timezone,utcoffset
timezone,tzname
timezone,dst
timezone,fromutc
