class,func
None,get_close_matches
None,IS_LINE_JUNK
None,IS_CHARACTER_JUNK
None,unified_diff
None,context_diff
None,diff_bytes
None,ndiff
None,restore
SequenceMatcher,set_seqs
SequenceMatcher,set_seq1
SequenceMatcher,set_seq2
SequenceMatcher,find_longest_match
SequenceMatcher,get_matching_blocks
SequenceMatcher,get_opcodes
SequenceMatcher,get_grouped_opcodes
SequenceMatcher,ratio
SequenceMatcher,quick_ratio
SequenceMatcher,real_quick_ratio
Differ,compare
HtmlDiff,make_file
HtmlDiff,make_table
