class,func
Command,ensure_finalized
Command,initialize_options
Command,finalize_options
Command,dump_options
Command,run
Command,announce
Command,debug_print
Command,ensure_string
Command,ensure_string_list
Command,ensure_filename
Command,ensure_dirname
Command,get_command_name
Command,set_undefined_options
Command,get_finalized_command
Command,reinitialize_command
Command,run_command
Command,get_sub_commands
Command,warn
Command,execute
Command,mkpath
Command,copy_file
Command,copy_tree
Command,move_file
Command,spawn
Command,make_archive
Command,make_file
