class,func
None,fix_help_options
Distribution,get_option_dict
Distribution,dump_option_dicts
Distribution,find_config_files
Distribution,parse_config_files
Distribution,parse_command_line
Distribution,finalize_options
Distribution,handle_display_options
Distribution,print_command_list
Distribution,print_commands
Distribution,get_command_list
Distribution,get_command_packages
Distribution,get_command_class
Distribution,get_command_obj
Distribution,reinitialize_command
Distribution,announce
Distribution,run_commands
Distribution,run_command
Distribution,has_pure_modules
Distribution,has_ext_modules
Distribution,has_c_libraries
Distribution,has_modules
Distribution,has_headers
Distribution,has_scripts
Distribution,has_data_files
Distribution,is_pure
DistributionMetadata,read_pkg_file
DistributionMetadata,write_pkg_info
DistributionMetadata,write_pkg_file
DistributionMetadata,get_name
DistributionMetadata,get_version
DistributionMetadata,get_fullname
DistributionMetadata,get_author
DistributionMetadata,get_author_email
DistributionMetadata,get_maintainer
DistributionMetadata,get_maintainer_email
DistributionMetadata,get_contact
DistributionMetadata,get_contact_email
DistributionMetadata,get_url
DistributionMetadata,get_license
DistributionMetadata,get_description
DistributionMetadata,get_long_description
DistributionMetadata,get_keywords
DistributionMetadata,set_keywords
DistributionMetadata,get_platforms
DistributionMetadata,set_platforms
DistributionMetadata,get_classifiers
DistributionMetadata,set_classifiers
DistributionMetadata,get_download_url
DistributionMetadata,get_requires
DistributionMetadata,set_requires
DistributionMetadata,get_provides
DistributionMetadata,set_provides
DistributionMetadata,get_obsoletes
DistributionMetadata,set_obsoletes
