class,func
None,get_build_version
None,normalize_and_reduce_paths
None,removeDuplicates
None,find_vcvarsall
None,query_vcvarsall
Reg,get_value
Reg,read_keys
Reg,read_values
Reg,convert_mbcs
MacroExpander,set_macro
MacroExpander,load_macros
MacroExpander,sub
MSVCCompiler,initialize
MSVCCompiler,object_filenames
MSVCCompiler,compile
MSVCCompiler,create_static_lib
MSVCCompiler,link
MSVCCompiler,manifest_setup_ldargs
MSVCCompiler,manifest_get_embed_info
MSVCCompiler,library_dir_option
MSVCCompiler,runtime_library_dir_option
MSVCCompiler,library_option
MSVCCompiler,find_library_file
MSVCCompiler,find_exe
