class,func
Address,display_name
Address,username
Address,domain
Address,addr_spec
Group,display_name
Group,addresses
BaseHeader,init
BaseHeader,name
BaseHeader,defects
BaseHeader,fold
UnstructuredHeader,parse
DateHeader,parse
DateHeader,init
DateHeader,datetime
AddressHeader,value_parser
AddressHeader,parse
AddressHeader,init
AddressHeader,groups
AddressHeader,addresses
SingleAddressHeader,address
MIMEVersionHeader,parse
MIMEVersionHeader,init
MIMEVersionHeader,major
MIMEVersionHeader,minor
MIMEVersionHeader,version
ParameterizedMIMEHeader,parse
ParameterizedMIMEHeader,init
ParameterizedMIMEHeader,params
ContentTypeHeader,init
ContentTypeHeader,maintype
ContentTypeHeader,subtype
ContentTypeHeader,content_type
ContentDispositionHeader,init
ContentDispositionHeader,content_disposition
ContentTransferEncodingHeader,parse
ContentTransferEncodingHeader,init
ContentTransferEncodingHeader,cte
MessageIDHeader,parse
HeaderRegistry,map_to_type
