class,func
Message,as_string
Message,as_bytes
Message,is_multipart
Message,set_unixfrom
Message,get_unixfrom
Message,attach
Message,get_payload
Message,set_payload
Message,set_charset
Message,get_charset
Message,keys
Message,values
Message,items
Message,get
Message,set_raw
Message,raw_items
Message,get_all
Message,add_header
Message,replace_header
Message,get_content_type
Message,get_content_maintype
Message,get_content_subtype
Message,get_default_type
Message,set_default_type
Message,get_params
Message,get_param
Message,set_param
Message,del_param
Message,set_type
Message,get_filename
Message,get_boundary
Message,set_boundary
Message,get_content_charset
Message,get_charsets
Message,get_content_disposition
MIMEPart,as_string
MIMEPart,is_attachment
MIMEPart,get_body
MIMEPart,iter_attachments
MIMEPart,iter_parts
MIMEPart,get_content
MIMEPart,set_content
MIMEPart,make_related
MIMEPart,make_alternative
MIMEPart,make_mixed
MIMEPart,add_related
MIMEPart,add_alternative
MIMEPart,add_attachment
MIMEPart,clear
MIMEPart,clear_content
EmailMessage,set_content
