class,func
None,test
NullFormatter,end_paragraph
NullFormatter,add_line_break
NullFormatter,add_hor_rule
NullFormatter,add_label_data
NullFormatter,add_flowing_data
NullFormatter,add_literal_data
NullFormatter,flush_softspace
NullFormatter,push_alignment
NullFormatter,pop_alignment
NullFormatter,push_font
NullFormatter,pop_font
NullFormatter,push_margin
NullFormatter,pop_margin
NullFormatter,set_spacing
NullFormatter,push_style
NullFormatter,pop_style
NullFormatter,assert_line_data
AbstractFormatter,end_paragraph
AbstractFormatter,add_line_break
AbstractFormatter,add_hor_rule
AbstractFormatter,add_label_data
AbstractFormatter,format_counter
AbstractFormatter,format_letter
AbstractFormatter,format_roman
AbstractFormatter,add_flowing_data
AbstractFormatter,add_literal_data
AbstractFormatter,flush_softspace
AbstractFormatter,push_alignment
AbstractFormatter,pop_alignment
AbstractFormatter,push_font
AbstractFormatter,pop_font
AbstractFormatter,push_margin
AbstractFormatter,pop_margin
AbstractFormatter,set_spacing
AbstractFormatter,push_style
AbstractFormatter,pop_style
AbstractFormatter,assert_line_data
NullWriter,flush
NullWriter,new_alignment
NullWriter,new_font
NullWriter,new_margin
NullWriter,new_spacing
NullWriter,new_styles
NullWriter,send_paragraph
NullWriter,send_line_break
NullWriter,send_hor_rule
NullWriter,send_label_data
NullWriter,send_flowing_data
NullWriter,send_literal_data
AbstractWriter,new_alignment
AbstractWriter,new_font
AbstractWriter,new_margin
AbstractWriter,new_spacing
AbstractWriter,new_styles
AbstractWriter,send_paragraph
AbstractWriter,send_line_break
AbstractWriter,send_hor_rule
AbstractWriter,send_label_data
AbstractWriter,send_flowing_data
AbstractWriter,send_literal_data
DumbWriter,reset
DumbWriter,send_paragraph
DumbWriter,send_line_break
DumbWriter,send_hor_rule
DumbWriter,send_literal_data
DumbWriter,send_flowing_data
