class,func
HTMLParser,reset
HTMLParser,feed
HTMLParser,close
HTMLParser,get_starttag_text
HTMLParser,set_cdata_mode
HTMLParser,clear_cdata_mode
HTMLParser,goahead
HTMLParser,parse_html_declaration
HTMLParser,parse_bogus_comment
HTMLParser,parse_pi
HTMLParser,parse_starttag
HTMLParser,check_for_whole_start_tag
HTMLParser,parse_endtag
HTMLParser,handle_startendtag
HTMLParser,handle_starttag
HTMLParser,handle_endtag
HTMLParser,handle_charref
HTMLParser,handle_entityref
HTMLParser,handle_data
HTMLParser,handle_comment
HTMLParser,handle_decl
HTMLParser,handle_pi
HTMLParser,unknown_decl
HTMLParser,unescape
