class,func
None,parse_headers
HTTPMessage,getallmatchingheaders
HTTPResponse,begin
HTTPResponse,close
HTTPResponse,flush
HTTPResponse,readable
HTTPResponse,isclosed
HTTPResponse,read
HTTPResponse,readinto
HTTPResponse,read1
HTTPResponse,peek
HTTPResponse,readline
HTTPResponse,fileno
HTTPResponse,getheader
HTTPResponse,getheaders
HTTPResponse,info
HTTPResponse,geturl
HTTPResponse,getcode
HTTPConnection,set_tunnel
HTTPConnection,set_debuglevel
HTTPConnection,connect
HTTPConnection,close
HTTPConnection,send
HTTPConnection,putrequest
HTTPConnection,putheader
HTTPConnection,endheaders
HTTPConnection,request
HTTPConnection,getresponse
HTTPSConnection,connect
