class,func
IdleConfParser,Get
IdleConfParser,GetOptionList
IdleConfParser,Load
IdleUserConfParser,SetOption
IdleUserConfParser,RemoveOption
IdleUserConfParser,AddSection
IdleUserConfParser,RemoveEmptySections
IdleUserConfParser,IsEmpty
IdleUserConfParser,Save
IdleConf,CreateConfigHandlers
IdleConf,GetUserCfgDir
IdleConf,GetOption
IdleConf,SetOption
IdleConf,GetSectionList
IdleConf,GetHighlight
IdleConf,GetThemeDict
IdleConf,CurrentTheme
IdleConf,CurrentKeys
IdleConf,current_colors_and_keys
IdleConf,default_keys
IdleConf,GetExtensions
IdleConf,RemoveKeyBindNames
IdleConf,GetExtnNameForEvent
IdleConf,GetExtensionKeys
IdleConf,GetExtensionBindings
IdleConf,GetKeyBinding
IdleConf,GetCurrentKeySet
IdleConf,GetKeySet
IdleConf,IsCoreBinding
IdleConf,GetCoreKeys
IdleConf,GetExtraHelpSourceList
IdleConf,GetAllExtraHelpSourcesList
IdleConf,GetFont
IdleConf,LoadCfgFiles
IdleConf,SaveUserCfgFiles
ConfigChanges,add_option
ConfigChanges,save_option
ConfigChanges,save_all
ConfigChanges,delete_section
ConfigChanges,clear
