class,func
None,is_int
ConfigDialog,create_widgets
ConfigDialog,create_action_buttons
ConfigDialog,ok
ConfigDialog,apply
ConfigDialog,cancel
ConfigDialog,destroy
ConfigDialog,help
ConfigDialog,deactivate_current_config
ConfigDialog,activate_config_changes
ConfigDialog,create_page_extensions
ConfigDialog,load_extensions
ConfigDialog,extension_selected
ConfigDialog,create_extension_frame
ConfigDialog,set_extension_value
ConfigDialog,save_all_changed_extensions
FontPage,create_page_font_tab
FontPage,load_font_cfg
FontPage,var_changed_font
FontPage,on_fontlist_select
FontPage,set_samples
FontPage,load_tab_cfg
FontPage,var_changed_space_num
HighPage,create_page_highlight
HighPage,load_theme_cfg
HighPage,var_changed_builtin_name
HighPage,var_changed_custom_name
HighPage,var_changed_theme_source
HighPage,var_changed_color
HighPage,var_changed_highlight_target
HighPage,set_theme_type
HighPage,get_color
HighPage,on_new_color_set
HighPage,get_new_theme_name
HighPage,save_as_new_theme
HighPage,create_new
HighPage,set_highlight_target
HighPage,set_color_sample_binding
HighPage,set_color_sample
HighPage,paint_theme_sample
HighPage,save_new
HighPage,askyesno
HighPage,delete_custom
KeysPage,create_page_keys
KeysPage,load_key_cfg
KeysPage,var_changed_builtin_name
KeysPage,var_changed_custom_name
KeysPage,var_changed_keyset_source
KeysPage,var_changed_keybinding
KeysPage,set_keys_type
KeysPage,get_new_keys
KeysPage,get_new_keys_name
KeysPage,save_as_new_key_set
KeysPage,on_bindingslist_select
KeysPage,create_new_key_set
KeysPage,load_keys_list
KeysPage,save_new_key_set
KeysPage,askyesno
KeysPage,delete_custom_keys
GenPage,init_validators
GenPage,create_page_general
GenPage,load_general_cfg
GenPage,help_source_selected
GenPage,set_add_delete_state
GenPage,helplist_item_add
GenPage,helplist_item_edit
GenPage,helplist_item_remove
GenPage,update_help_changes
VarTrace,clear
VarTrace,add
VarTrace,make_callback
VarTrace,attach
VarTrace,detach
