class,func
Idb,user_line
Idb,user_exception
Idb,in_rpc_code
Debugger,run
Debugger,close
Debugger,make_gui
Debugger,interaction
Debugger,sync_source_line
Debugger,cont
Debugger,step
Debugger,next
Debugger,ret
Debugger,quit
Debugger,abort_loop
Debugger,show_stack
Debugger,show_source
Debugger,show_frame
Debugger,show_locals
Debugger,show_globals
Debugger,show_variables
Debugger,set_breakpoint_here
Debugger,clear_breakpoint_here
Debugger,clear_file_breaks
Debugger,load_breakpoints
StackViewer,load_stack
StackViewer,popup_event
StackViewer,fill_menu
StackViewer,on_select
StackViewer,on_double
StackViewer,goto_source_line
StackViewer,show_stack_frame
StackViewer,show_source
NamespaceViewer,load_dict
NamespaceViewer,close
