class,func
None,wrap_frame
None,wrap_info
None,start_debugger
None,start_remote_debugger
None,close_remote_debugger
None,close_subprocess_debugger
None,restart_subprocess_debugger
GUIProxy,interaction
IdbAdapter,set_step
IdbAdapter,set_quit
IdbAdapter,set_continue
IdbAdapter,set_next
IdbAdapter,set_return
IdbAdapter,get_stack
IdbAdapter,run
IdbAdapter,set_break
IdbAdapter,clear_break
IdbAdapter,clear_all_file_breaks
IdbAdapter,frame_attr
IdbAdapter,frame_globals
IdbAdapter,frame_locals
IdbAdapter,frame_code
IdbAdapter,code_name
IdbAdapter,code_filename
IdbAdapter,dict_keys
IdbAdapter,dict_keys_list
IdbAdapter,dict_item
DictProxy,keys
GUIAdapter,interaction
IdbProxy,call
IdbProxy,run
IdbProxy,get_stack
IdbProxy,set_continue
IdbProxy,set_step
IdbProxy,set_next
IdbProxy,set_return
IdbProxy,set_quit
IdbProxy,set_break
IdbProxy,clear_break
IdbProxy,clear_all_file_breaks
