class,func
None,find_paragraph
None,reformat_paragraph
None,reformat_comment
None,is_all_white
None,get_indent
None,get_comment_header
None,get_line_indent
FormatParagraph,reload
FormatParagraph,close
FormatParagraph,format_paragraph_event
FormatRegion,get_region
FormatRegion,set_region
FormatRegion,indent_region_event
FormatRegion,dedent_region_event
FormatRegion,comment_region_event
FormatRegion,uncomment_region_event
FormatRegion,tabify_region_event
FormatRegion,untabify_region_event
Indents,toggle_tabs_event
Indents,change_indentwidth_event
Rstrip,do_rstrip
