class,func
None,idle_showwarning
None,capture_warnings
None,extended_linecache_checkcache
None,restart_line
None,fix_x11_paste
None,main
PyShellEditorWindow,color_breakpoint_text
PyShellEditorWindow,set_breakpoint
PyShellEditorWindow,set_breakpoint_here
PyShellEditorWindow,clear_breakpoint_here
PyShellEditorWindow,clear_file_breaks
PyShellEditorWindow,store_file_breaks
PyShellEditorWindow,restore_file_breaks
PyShellEditorWindow,update_breakpoints
PyShellEditorWindow,ranges_to_linenumbers
PyShellFileList,open_shell
ModifiedColorDelegator,recolorize_main
ModifiedColorDelegator,LoadTagDefs
ModifiedColorDelegator,removecolors
ModifiedUndoDelegator,insert
ModifiedUndoDelegator,delete
MyRPCClient,handle_EOF
ModifiedInterpreter,spawn_subprocess
ModifiedInterpreter,build_subprocess_arglist
ModifiedInterpreter,start_subprocess
ModifiedInterpreter,restart_subprocess
ModifiedInterpreter,interrupt_subprocess
ModifiedInterpreter,kill_subprocess
ModifiedInterpreter,terminate_subprocess
ModifiedInterpreter,transfer_path
ModifiedInterpreter,poll_subprocess
ModifiedInterpreter,setdebugger
ModifiedInterpreter,getdebugger
ModifiedInterpreter,open_remote_stack_viewer
ModifiedInterpreter,remote_stack_viewer
ModifiedInterpreter,execsource
ModifiedInterpreter,execfile
ModifiedInterpreter,runsource
ModifiedInterpreter,stuffsource
ModifiedInterpreter,prepend_syspath
ModifiedInterpreter,showsyntaxerror
ModifiedInterpreter,showtraceback
ModifiedInterpreter,checklinecache
ModifiedInterpreter,runcommand
ModifiedInterpreter,runcode
ModifiedInterpreter,write
ModifiedInterpreter,display_port_binding_error
ModifiedInterpreter,display_no_subprocess_error
ModifiedInterpreter,display_executing_dialog
PyShell,get_standard_extension_names
PyShell,set_warning_stream
PyShell,get_warning_stream
PyShell,toggle_debugger
PyShell,set_debugger_indicator
PyShell,toggle_jit_stack_viewer
PyShell,close_debugger
PyShell,open_debugger
PyShell,beginexecuting
PyShell,endexecuting
PyShell,close
PyShell,ispythonsource
PyShell,short_title
PyShell,begin
PyShell,stop_readline
PyShell,readline
PyShell,isatty
PyShell,cancel_callback
PyShell,eof_callback
PyShell,linefeed_callback
PyShell,enter_callback
PyShell,recall
PyShell,runit
PyShell,open_stack_viewer
PyShell,view_restart_mark
PyShell,restart_shell
PyShell,showprompt
PyShell,show_warning
PyShell,resetoutput
PyShell,write
PyShell,rmenu_check_cut
PyShell,rmenu_check_paste
