class,func
UndoDelegator,setdelegate
UndoDelegator,dump_event
UndoDelegator,reset_undo
UndoDelegator,set_saved
UndoDelegator,get_saved
UndoDelegator,set_saved_change_hook
UndoDelegator,check_saved
UndoDelegator,insert
UndoDelegator,delete
UndoDelegator,undo_block_start
UndoDelegator,undo_block_stop
UndoDelegator,addcmd
UndoDelegator,undo_event
UndoDelegator,redo_event
Command,do
Command,redo
Command,undo
Command,merge
Command,save_marks
Command,set_marks
InsertCommand,do
InsertCommand,redo
InsertCommand,undo
InsertCommand,merge
InsertCommand,classify
DeleteCommand,do
DeleteCommand,redo
DeleteCommand,undo
CommandSequence,append
CommandSequence,getcmd
CommandSequence,redo
CommandSequence,undo
CommandSequence,bump_depth
