class,func
None,spec_from_loader
None,module_from_spec
_ModuleLock,has_deadlock
_ModuleLock,acquire
_ModuleLock,release
_DummyModuleLock,acquire
_DummyModuleLock,release
ModuleSpec,cached
ModuleSpec,parent
ModuleSpec,has_location
BuiltinImporter,module_repr
BuiltinImporter,find_spec
BuiltinImporter,find_module
BuiltinImporter,create_module
BuiltinImporter,exec_module
BuiltinImporter,get_code
BuiltinImporter,get_source
BuiltinImporter,is_package
FrozenImporter,module_repr
FrozenImporter,find_spec
FrozenImporter,find_module
FrozenImporter,create_module
FrozenImporter,exec_module
FrozenImporter,load_module
FrozenImporter,get_code
FrozenImporter,get_source
FrozenImporter,is_package
