class,func
None,distribution
None,distributions
None,metadata
None,version
None,entry_points
None,files
None,requires
EntryPoint,load
EntryPoint,extras
PackagePath,read_text
PackagePath,read_binary
PackagePath,locate
Distribution,read_text
Distribution,locate_file
Distribution,from_name
Distribution,discover
Distribution,at
Distribution,metadata
Distribution,version
Distribution,entry_points
Distribution,files
Distribution,requires
DistributionFinder,find_distributions
FastPath,joinpath
FastPath,children
FastPath,zip_children
FastPath,is_egg
FastPath,search
MetadataPathFinder,find_distributions
PathDistribution,read_text
PathDistribution,locate_file
