class,func
None,ismodule
None,isclass
None,ismethod
None,ismethoddescriptor
None,isdatadescriptor
None,ismemberdescriptor
None,isgetsetdescriptor
None,isfunction
None,isgeneratorfunction
None,iscoroutinefunction
None,isasyncgenfunction
None,isasyncgen
None,isgenerator
None,iscoroutine
None,isawaitable
None,istraceback
None,isframe
None,iscode
None,isbuiltin
None,isroutine
None,isabstract
None,getmembers
None,classify_class_attrs
None,getmro
None,unwrap
None,indentsize
None,getdoc
None,cleandoc
None,getfile
None,getmodulename
None,getsourcefile
None,getabsfile
None,getmodule
None,findsource
None,getcomments
None,getblock
None,getsourcelines
None,getsource
None,walktree
None,getclasstree
None,getargs
None,getargspec
None,getfullargspec
None,getargvalues
None,formatannotation
None,formatannotationrelativeto
None,formatargspec
None,formatargvalues
None,getcallargs
None,getclosurevars
None,getframeinfo
None,getlineno
None,getouterframes
None,getinnerframes
None,currentframe
None,stack
None,trace
None,getattr_static
None,getgeneratorstate
None,getgeneratorlocals
None,getcoroutinestate
None,getcoroutinelocals
None,signature
BlockFinder,tokeneater
_ParameterKind,description
Parameter,name
Parameter,default
Parameter,annotation
Parameter,kind
Parameter,replace
BoundArguments,signature
BoundArguments,args
BoundArguments,kwargs
BoundArguments,apply_defaults
Signature,from_function
Signature,from_builtin
Signature,from_callable
Signature,parameters
Signature,return_annotation
Signature,replace
Signature,bind
Signature,bind_partial
