class,func
None,type_repr
None,convert
None,generate_matches
Base,clone
Base,post_order
Base,pre_order
Base,replace
Base,get_lineno
Base,changed
Base,remove
Base,next_sibling
Base,prev_sibling
Base,leaves
Base,depth
Base,get_suffix
Node,clone
Node,post_order
Node,pre_order
Node,prefix
Node,set_child
Node,insert_child
Node,append_child
Leaf,clone
Leaf,leaves
Leaf,post_order
Leaf,pre_order
Leaf,prefix
BasePattern,optimize
BasePattern,match
BasePattern,match_seq
BasePattern,generate_matches
LeafPattern,match
WildcardPattern,optimize
WildcardPattern,match
WildcardPattern,match_seq
WildcardPattern,generate_matches
NegatedPattern,match
NegatedPattern,match_seq
NegatedPattern,generate_matches
