class,func
None,getLevelName
None,addLevelName
None,currentframe
None,setLogRecordFactory
None,getLogRecordFactory
None,makeLogRecord
None,setLoggerClass
None,getLoggerClass
None,basicConfig
None,getLogger
None,critical
None,error
None,exception
None,warning
None,warn
None,info
None,debug
None,log
None,disable
None,shutdown
None,captureWarnings
LogRecord,getMessage
PercentStyle,usesTime
PercentStyle,validate
PercentStyle,format
StrFormatStyle,validate
StringTemplateStyle,usesTime
StringTemplateStyle,validate
Formatter,formatTime
Formatter,formatException
Formatter,usesTime
Formatter,formatMessage
Formatter,formatStack
Formatter,format
BufferingFormatter,formatHeader
BufferingFormatter,formatFooter
BufferingFormatter,format
Filter,filter
Filterer,addFilter
Filterer,removeFilter
Filterer,filter
Handler,get_name
Handler,set_name
Handler,createLock
Handler,acquire
Handler,release
Handler,setLevel
Handler,format
Handler,emit
Handler,handle
Handler,setFormatter
Handler,flush
Handler,close
Handler,handleError
StreamHandler,flush
StreamHandler,emit
StreamHandler,setStream
FileHandler,close
FileHandler,emit
_StderrHandler,stream
PlaceHolder,append
Manager,getLogger
Manager,setLoggerClass
Manager,setLogRecordFactory
Logger,setLevel
Logger,debug
Logger,info
Logger,warning
Logger,warn
Logger,error
Logger,exception
Logger,critical
Logger,log
Logger,findCaller
Logger,makeRecord
Logger,handle
Logger,addHandler
Logger,removeHandler
Logger,hasHandlers
Logger,callHandlers
Logger,getEffectiveLevel
Logger,isEnabledFor
Logger,getChild
LoggerAdapter,process
LoggerAdapter,debug
LoggerAdapter,info
LoggerAdapter,warning
LoggerAdapter,warn
LoggerAdapter,error
LoggerAdapter,exception
LoggerAdapter,critical
LoggerAdapter,log
LoggerAdapter,isEnabledFor
LoggerAdapter,setLevel
LoggerAdapter,getEffectiveLevel
LoggerAdapter,hasHandlers
LoggerAdapter,manager
LoggerAdapter,name
NullHandler,handle
NullHandler,emit
NullHandler,createLock
