class,func
Mailbox,add
Mailbox,remove
Mailbox,discard
Mailbox,get
Mailbox,get_message
Mailbox,get_string
Mailbox,get_bytes
Mailbox,get_file
Mailbox,iterkeys
Mailbox,keys
Mailbox,itervalues
Mailbox,values
Mailbox,iteritems
Mailbox,items
Mailbox,clear
Mailbox,pop
Mailbox,popitem
Mailbox,update
Mailbox,flush
Mailbox,lock
Mailbox,unlock
Mailbox,close
Maildir,add
Maildir,remove
Maildir,discard
Maildir,get_message
Maildir,get_bytes
Maildir,get_file
Maildir,iterkeys
Maildir,flush
Maildir,lock
Maildir,unlock
Maildir,close
Maildir,list_folders
Maildir,get_folder
Maildir,add_folder
Maildir,remove_folder
Maildir,clean
Maildir,next
_singlefileMailbox,add
_singlefileMailbox,remove
_singlefileMailbox,iterkeys
_singlefileMailbox,lock
_singlefileMailbox,unlock
_singlefileMailbox,flush
_singlefileMailbox,close
_mboxMMDF,get_message
_mboxMMDF,get_string
_mboxMMDF,get_bytes
_mboxMMDF,get_file
MH,add
MH,remove
MH,get_message
MH,get_bytes
MH,get_file
MH,iterkeys
MH,lock
MH,unlock
MH,flush
MH,close
MH,list_folders
MH,get_folder
MH,add_folder
MH,remove_folder
MH,get_sequences
MH,set_sequences
MH,pack
Babyl,add
Babyl,remove
Babyl,get_message
Babyl,get_bytes
Babyl,get_file
Babyl,get_labels
MaildirMessage,get_subdir
MaildirMessage,set_subdir
MaildirMessage,get_flags
MaildirMessage,set_flags
MaildirMessage,add_flag
MaildirMessage,remove_flag
MaildirMessage,get_date
MaildirMessage,set_date
MaildirMessage,get_info
MaildirMessage,set_info
_mboxMMDFMessage,get_from
_mboxMMDFMessage,set_from
_mboxMMDFMessage,get_flags
_mboxMMDFMessage,set_flags
_mboxMMDFMessage,add_flag
_mboxMMDFMessage,remove_flag
MHMessage,get_sequences
MHMessage,set_sequences
MHMessage,add_sequence
MHMessage,remove_sequence
BabylMessage,get_labels
BabylMessage,set_labels
BabylMessage,add_label
BabylMessage,remove_label
BabylMessage,get_visible
BabylMessage,set_visible
BabylMessage,update_visible
_ProxyFile,read
_ProxyFile,read1
_ProxyFile,readline
_ProxyFile,readlines
_ProxyFile,tell
_ProxyFile,seek
_ProxyFile,close
_ProxyFile,readable
_ProxyFile,writable
_ProxyFile,seekable
_ProxyFile,flush
_ProxyFile,closed
_PartialFile,tell
_PartialFile,seek
_PartialFile,close
