class,func
None,change_sequence
None,add_data
None,add_stream
None,init_database
None,add_tables
None,make_id
None,gen_uuid
Table,add_field
Table,sql
Table,create
CAB,gen_id
CAB,append
CAB,commit
Directory,start_component
Directory,make_short
Directory,add_file
Directory,glob
Directory,remove_pyc
Feature,set_current
Control,event
Control,mapping
Control,condition
RadioButtonGroup,add
Dialog,control
Dialog,text
Dialog,bitmap
Dialog,line
Dialog,pushbutton
Dialog,radiogroup
Dialog,checkbox
