class,func
None,arbitrary_address
None,address_type
None,Client
None,Pipe
None,SocketClient
None,PipeClient
None,deliver_challenge
None,answer_challenge
None,XmlClient
None,wait
None,reduce_connection
None,rebuild_connection
None,reduce_pipe_connection
None,rebuild_pipe_connection
_ConnectionBase,closed
_ConnectionBase,readable
_ConnectionBase,writable
_ConnectionBase,fileno
_ConnectionBase,close
_ConnectionBase,send_bytes
_ConnectionBase,send
_ConnectionBase,recv_bytes
_ConnectionBase,recv_bytes_into
_ConnectionBase,recv
_ConnectionBase,poll
Listener,accept
Listener,close
Listener,address
Listener,last_accepted
SocketListener,accept
SocketListener,close
PipeListener,accept
ConnectionWrapper,send
ConnectionWrapper,recv
XmlListener,accept
