class,func
None,decode_header
None,cut
_NNTPBase,getwelcome
_NNTPBase,getcapabilities
_NNTPBase,set_debuglevel
_NNTPBase,capabilities
_NNTPBase,newgroups
_NNTPBase,newnews
_NNTPBase,list
_NNTPBase,description
_NNTPBase,descriptions
_NNTPBase,group
_NNTPBase,help
_NNTPBase,stat
_NNTPBase,next
_NNTPBase,last
_NNTPBase,head
_NNTPBase,body
_NNTPBase,article
_NNTPBase,slave
_NNTPBase,xhdr
_NNTPBase,xover
_NNTPBase,over
_NNTPBase,xgtitle
_NNTPBase,xpath
_NNTPBase,date
_NNTPBase,post
_NNTPBase,ihave
_NNTPBase,quit
_NNTPBase,login
_NNTPBase,starttls
