class,func
None,gettext
None,ngettext
None,check_builtin
None,check_choice
HelpFormatter,set_parser
HelpFormatter,set_short_opt_delimiter
HelpFormatter,set_long_opt_delimiter
HelpFormatter,indent
HelpFormatter,dedent
HelpFormatter,format_usage
HelpFormatter,format_heading
HelpFormatter,format_description
HelpFormatter,format_epilog
HelpFormatter,expand_default
HelpFormatter,format_option
HelpFormatter,store_option_strings
HelpFormatter,format_option_strings
IndentedHelpFormatter,format_usage
IndentedHelpFormatter,format_heading
TitledHelpFormatter,format_usage
TitledHelpFormatter,format_heading
Option,takes_value
Option,get_opt_string
Option,check_value
Option,convert_value
Option,process
Option,take_action
Values,read_module
Values,read_file
Values,ensure_value
OptionContainer,set_conflict_handler
OptionContainer,set_description
OptionContainer,get_description
OptionContainer,destroy
OptionContainer,add_option
OptionContainer,add_options
OptionContainer,get_option
OptionContainer,has_option
OptionContainer,remove_option
OptionContainer,format_option_help
OptionContainer,format_description
OptionContainer,format_help
OptionGroup,set_title
OptionGroup,destroy
OptionGroup,format_help
OptionParser,destroy
OptionParser,set_usage
OptionParser,enable_interspersed_args
OptionParser,disable_interspersed_args
OptionParser,set_process_default_values
OptionParser,set_default
OptionParser,set_defaults
OptionParser,get_default_values
OptionParser,add_option_group
OptionParser,get_option_group
OptionParser,parse_args
OptionParser,check_values
OptionParser,get_prog_name
OptionParser,expand_prog_name
OptionParser,get_description
OptionParser,exit
OptionParser,error
OptionParser,get_usage
OptionParser,print_usage
OptionParser,get_version
OptionParser,print_version
OptionParser,format_option_help
OptionParser,format_epilog
OptionParser,format_help
OptionParser,print_help
