class,func
None,readPlist
None,writePlist
None,readPlistFromBytes
None,writePlistToBytes
None,load
None,loads
None,dump
None,dumps
Data,fromBase64
Data,asBase64
_PlistParser,parse
_PlistParser,handle_begin_element
_PlistParser,handle_end_element
_PlistParser,handle_data
_PlistParser,add_object
_PlistParser,get_data
_PlistParser,begin_dict
_PlistParser,end_dict
_PlistParser,end_key
_PlistParser,begin_array
_PlistParser,end_array
_PlistParser,end_true
_PlistParser,end_false
_PlistParser,end_integer
_PlistParser,end_real
_PlistParser,end_string
_PlistParser,end_data
_PlistParser,end_date
_DumbXMLWriter,begin_element
_DumbXMLWriter,end_element
_DumbXMLWriter,simple_element
_DumbXMLWriter,writeln
_PlistWriter,write
_PlistWriter,write_value
_PlistWriter,write_data
_PlistWriter,write_bytes
_PlistWriter,write_dict
_PlistWriter,write_array
_BinaryPlistParser,parse
_BinaryPlistWriter,write
