class,func
None,run
None,runctx
None,main
_Utils,run
_Utils,runctx
Profile,trace_dispatch
Profile,trace_dispatch_i
Profile,trace_dispatch_mac
Profile,trace_dispatch_l
Profile,trace_dispatch_exception
Profile,trace_dispatch_call
Profile,trace_dispatch_c_call
Profile,trace_dispatch_return
Profile,set_cmd
Profile,simulate_call
Profile,simulate_cmd_complete
Profile,print_stats
Profile,dump_stats
Profile,create_stats
Profile,snapshot_stats
Profile,run
Profile,runctx
Profile,runcall
Profile,calibrate
