class,func
None,pathdirs
None,getdoc
None,splitdoc
None,classname
None,isdata
None,replace
None,cram
None,stripid
None,allmethods
None,visiblename
None,classify_class_attrs
None,sort_attributes
None,ispackage
None,source_synopsis
None,synopsis
None,importfile
None,safeimport
None,pager
None,getpager
None,plain
None,pipepager
None,tempfilepager
None,ttypager
None,plainpager
None,describe
None,locate
None,resolve
None,render_doc
None,doc
None,writedoc
None,writedocs
None,apropos
None,browse
None,ispath
None,cli
Doc,document
Doc,fail
Doc,getdocloc
HTMLRepr,escape
HTMLRepr,repr
HTMLRepr,repr1
HTMLRepr,repr_string
HTMLRepr,repr_instance
HTMLDoc,page
HTMLDoc,heading
HTMLDoc,section
HTMLDoc,bigsection
HTMLDoc,preformat
HTMLDoc,multicolumn
HTMLDoc,grey
HTMLDoc,namelink
HTMLDoc,classlink
HTMLDoc,modulelink
HTMLDoc,modpkglink
HTMLDoc,filelink
HTMLDoc,markup
HTMLDoc,formattree
HTMLDoc,docmodule
HTMLDoc,docclass
HTMLDoc,formatvalue
HTMLDoc,docroutine
HTMLDoc,docdata
HTMLDoc,docother
HTMLDoc,index
TextRepr,repr1
TextRepr,repr_string
TextRepr,repr_instance
TextDoc,bold
TextDoc,indent
TextDoc,section
TextDoc,formattree
TextDoc,docmodule
TextDoc,docclass
TextDoc,formatvalue
TextDoc,docroutine
TextDoc,docdata
TextDoc,docother
_PlainTextDoc,bold
Helper,input
Helper,output
Helper,interact
Helper,getline
Helper,help
Helper,intro
Helper,list
Helper,listkeywords
Helper,listsymbols
Helper,listtopics
Helper,showtopic
Helper,showsymbol
Helper,listmodules
ModuleScanner,run
