class,func
BaseSelector,register
BaseSelector,unregister
BaseSelector,modify
BaseSelector,select
BaseSelector,close
BaseSelector,get_key
BaseSelector,get_map
_BaseSelectorImpl,register
_BaseSelectorImpl,unregister
_BaseSelectorImpl,modify
_BaseSelectorImpl,close
_BaseSelectorImpl,get_map
SelectSelector,register
SelectSelector,unregister
SelectSelector,select
_PollLikeSelector,register
_PollLikeSelector,unregister
_PollLikeSelector,modify
_PollLikeSelector,select
EpollSelector,fileno
EpollSelector,select
EpollSelector,close
DevpollSelector,fileno
DevpollSelector,close
KqueueSelector,fileno
KqueueSelector,register
KqueueSelector,unregister
KqueueSelector,select
KqueueSelector,close
