class,func
None,match_hostname
None,get_default_verify_paths
None,create_default_context
None,wrap_socket
None,cert_time_to_seconds
None,DER_cert_to_PEM_cert
None,PEM_cert_to_DER_cert
None,get_server_certificate
None,get_protocol_name
_ASN1Object,fromnid
_ASN1Object,fromname
SSLContext,wrap_socket
SSLContext,wrap_bio
SSLContext,set_npn_protocols
SSLContext,set_servername_callback
SSLContext,set_alpn_protocols
SSLContext,load_default_certs
SSLContext,minimum_version
SSLContext,maximum_version
SSLContext,options
SSLContext,hostname_checks_common_name
SSLContext,protocol
SSLContext,verify_flags
SSLContext,verify_mode
SSLObject,context
SSLObject,session
SSLObject,session_reused
SSLObject,server_side
SSLObject,server_hostname
SSLObject,read
SSLObject,write
SSLObject,getpeercert
SSLObject,selected_npn_protocol
SSLObject,selected_alpn_protocol
SSLObject,cipher
SSLObject,shared_ciphers
SSLObject,compression
SSLObject,pending
SSLObject,do_handshake
SSLObject,unwrap
SSLObject,get_channel_binding
SSLObject,version
SSLObject,verify_client_post_handshake
SSLSocket,context
SSLSocket,session
SSLSocket,session_reused
SSLSocket,dup
SSLSocket,read
SSLSocket,write
SSLSocket,getpeercert
SSLSocket,selected_npn_protocol
SSLSocket,selected_alpn_protocol
SSLSocket,cipher
SSLSocket,shared_ciphers
SSLSocket,compression
SSLSocket,send
SSLSocket,sendto
SSLSocket,sendmsg
SSLSocket,sendall
SSLSocket,sendfile
SSLSocket,recv
SSLSocket,recv_into
SSLSocket,recvfrom
SSLSocket,recvfrom_into
SSLSocket,recvmsg
SSLSocket,recvmsg_into
SSLSocket,pending
SSLSocket,shutdown
SSLSocket,unwrap
SSLSocket,verify_client_post_handshake
SSLSocket,do_handshake
SSLSocket,connect
SSLSocket,connect_ex
SSLSocket,accept
SSLSocket,get_channel_binding
SSLSocket,version
