class,func
None,open
None,openfp
Au_read,initfp
Au_read,getfp
Au_read,getnchannels
Au_read,getsampwidth
Au_read,getframerate
Au_read,getnframes
Au_read,getcomptype
Au_read,getcompname
Au_read,getparams
Au_read,getmarkers
Au_read,getmark
Au_read,readframes
Au_read,rewind
Au_read,tell
Au_read,setpos
Au_read,close
Au_write,initfp
Au_write,setnchannels
Au_write,getnchannels
Au_write,setsampwidth
Au_write,getsampwidth
Au_write,setframerate
Au_write,getframerate
Au_write,setnframes
Au_write,getnframes
Au_write,setcomptype
Au_write,getcomptype
Au_write,getcompname
Au_write,setparams
Au_write,getparams
Au_write,tell
Au_write,writeframesraw
Au_write,writeframes
Au_write,close
