class,func
None,symtable
SymbolTableFactory,new
SymbolTable,get_type
SymbolTable,get_id
SymbolTable,get_name
SymbolTable,get_lineno
SymbolTable,is_optimized
SymbolTable,is_nested
SymbolTable,has_children
SymbolTable,has_exec
SymbolTable,get_identifiers
SymbolTable,lookup
SymbolTable,get_symbols
SymbolTable,get_children
Function,get_parameters
Function,get_locals
Function,get_globals
Function,get_nonlocals
Function,get_frees
Class,get_methods
Symbol,get_name
Symbol,is_referenced
Symbol,is_parameter
Symbol,is_global
Symbol,is_nonlocal
Symbol,is_declared_global
Symbol,is_local
Symbol,is_annotated
Symbol,is_free
Symbol,is_imported
Symbol,is_assigned
Symbol,is_namespace
Symbol,get_namespaces
Symbol,get_namespace
