class,func
None,stn
None,nts
None,nti
None,itn
None,calc_chksums
None,copyfileobj
None,is_tarfile
None,main
_LowLevelFile,close
_LowLevelFile,read
_LowLevelFile,write
_Stream,write
_Stream,close
_Stream,tell
_Stream,seek
_Stream,read
_StreamProxy,read
_StreamProxy,getcomptype
_StreamProxy,close
_FileInFile,flush
_FileInFile,readable
_FileInFile,writable
_FileInFile,seekable
_FileInFile,tell
_FileInFile,seek
_FileInFile,read
_FileInFile,readinto
_FileInFile,close
TarInfo,path
TarInfo,linkpath
TarInfo,get_info
TarInfo,tobuf
TarInfo,create_ustar_header
TarInfo,create_gnu_header
TarInfo,create_pax_header
TarInfo,create_pax_global_header
TarInfo,frombuf
TarInfo,fromtarfile
TarInfo,isreg
TarInfo,isfile
TarInfo,isdir
TarInfo,issym
TarInfo,islnk
TarInfo,ischr
TarInfo,isblk
TarInfo,isfifo
TarInfo,issparse
TarInfo,isdev
TarFile,open
TarFile,taropen
TarFile,gzopen
TarFile,bz2open
TarFile,xzopen
TarFile,close
TarFile,getmember
TarFile,getmembers
TarFile,getnames
TarFile,gettarinfo
TarFile,list
TarFile,add
TarFile,addfile
TarFile,extractall
TarFile,extract
TarFile,extractfile
TarFile,makedir
TarFile,makefile
TarFile,makeunknown
TarFile,makefifo
TarFile,makedev
TarFile,makelink
TarFile,chown
TarFile,chmod
TarFile,utime
TarFile,next
