class,func
None,gettempprefix
None,gettempprefixb
None,gettempdir
None,gettempdirb
None,mkstemp
None,mkdtemp
None,mktemp
None,NamedTemporaryFile
None,TemporaryFile
_RandomNameSequence,rng
_TemporaryFileCloser,close
_TemporaryFileWrapper,close
SpooledTemporaryFile,rollover
SpooledTemporaryFile,close
SpooledTemporaryFile,closed
SpooledTemporaryFile,encoding
SpooledTemporaryFile,errors
SpooledTemporaryFile,fileno
SpooledTemporaryFile,flush
SpooledTemporaryFile,isatty
SpooledTemporaryFile,mode
SpooledTemporaryFile,name
SpooledTemporaryFile,newlines
SpooledTemporaryFile,read
SpooledTemporaryFile,readline
SpooledTemporaryFile,readlines
SpooledTemporaryFile,seek
SpooledTemporaryFile,softspace
SpooledTemporaryFile,tell
SpooledTemporaryFile,truncate
SpooledTemporaryFile,write
SpooledTemporaryFile,writelines
TemporaryDirectory,cleanup
