class,func
None,askopenfilename
None,asksaveasfilename
None,askopenfilenames
None,askopenfile
None,askopenfiles
None,asksaveasfile
None,askdirectory
None,test
FileDialog,go
FileDialog,quit
FileDialog,dirs_double_event
FileDialog,dirs_select_event
FileDialog,files_double_event
FileDialog,files_select_event
FileDialog,ok_event
FileDialog,ok_command
FileDialog,filter_command
FileDialog,get_filter
FileDialog,get_selection
FileDialog,cancel_command
FileDialog,set_filter
FileDialog,set_selection
LoadFileDialog,ok_command
SaveFileDialog,ok_command
