class,func
None,tclobjs_to_py
None,setup_master
Style,configure
Style,map
Style,lookup
Style,layout
Style,element_create
Style,element_names
Style,element_options
Style,theme_create
Style,theme_settings
Style,theme_names
Style,theme_use
Widget,identify
Widget,instate
Widget,state
Button,invoke
Checkbutton,invoke
Entry,bbox
Entry,identify
Entry,validate
Combobox,current
Combobox,set
Notebook,add
Notebook,forget
Notebook,hide
Notebook,identify
Notebook,index
Notebook,insert
Notebook,select
Notebook,tab
Notebook,tabs
Notebook,enable_traversal
Panedwindow,insert
Panedwindow,pane
Panedwindow,sashpos
Progressbar,start
Progressbar,step
Progressbar,stop
Radiobutton,invoke
Scale,configure
Scale,get
Spinbox,set
Treeview,bbox
Treeview,get_children
Treeview,set_children
Treeview,column
Treeview,delete
Treeview,detach
Treeview,exists
Treeview,focus
Treeview,heading
Treeview,identify
Treeview,identify_row
Treeview,identify_column
Treeview,identify_region
Treeview,identify_element
Treeview,index
Treeview,insert
Treeview,item
Treeview,move
Treeview,next
Treeview,parent
Treeview,prev
Treeview,see
Treeview,selection
Treeview,selection_set
Treeview,selection_add
Treeview,selection_remove
Treeview,selection_toggle
Treeview,set
Treeview,tag_bind
Treeview,tag_configure
Treeview,tag_has
LabeledScale,destroy
LabeledScale,value
OptionMenu,set_menu
OptionMenu,destroy
