class,func
None,config_dict
None,readconfig
None,Screen
None,write_docstringdict
None,read_docstrings
None,getmethparlist
None,switchpen
None,demo1
None,demo2
Vec2D,rotate
ScrolledCanvas,reset
ScrolledCanvas,adjustScrolls
ScrolledCanvas,onResize
ScrolledCanvas,bbox
ScrolledCanvas,cget
ScrolledCanvas,config
ScrolledCanvas,bind
ScrolledCanvas,unbind
ScrolledCanvas,focus_force
_Root,setupcanvas
_Root,set_geometry
_Root,ondestroy
_Root,win_width
_Root,win_height
TurtleScreenBase,mainloop
TurtleScreenBase,textinput
TurtleScreenBase,numinput
Shape,addcomponent
Tbuffer,reset
Tbuffer,push
Tbuffer,pop
Tbuffer,nr_of_items
TurtleScreen,clear
TurtleScreen,mode
TurtleScreen,setworldcoordinates
TurtleScreen,register_shape
TurtleScreen,colormode
TurtleScreen,reset
TurtleScreen,turtles
TurtleScreen,bgcolor
TurtleScreen,tracer
TurtleScreen,delay
TurtleScreen,update
TurtleScreen,window_width
TurtleScreen,window_height
TurtleScreen,getcanvas
TurtleScreen,getshapes
TurtleScreen,onclick
TurtleScreen,onkey
TurtleScreen,onkeypress
TurtleScreen,listen
TurtleScreen,ontimer
TurtleScreen,bgpic
TurtleScreen,screensize
TNavigator,reset
TNavigator,degrees
TNavigator,radians
TNavigator,forward
TNavigator,back
TNavigator,right
TNavigator,left
TNavigator,pos
TNavigator,xcor
TNavigator,ycor
TNavigator,goto
TNavigator,home
TNavigator,setx
TNavigator,sety
TNavigator,distance
TNavigator,towards
TNavigator,heading
TNavigator,setheading
TNavigator,circle
TNavigator,speed
TPen,resizemode
TPen,pensize
TPen,penup
TPen,pendown
TPen,isdown
TPen,speed
TPen,color
TPen,pencolor
TPen,fillcolor
TPen,showturtle
TPen,hideturtle
TPen,isvisible
TPen,pen
RawTurtle,reset
RawTurtle,setundobuffer
RawTurtle,undobufferentries
RawTurtle,clear
RawTurtle,clone
RawTurtle,shape
RawTurtle,shapesize
RawTurtle,shearfactor
RawTurtle,settiltangle
RawTurtle,tiltangle
RawTurtle,tilt
RawTurtle,shapetransform
RawTurtle,get_shapepoly
RawTurtle,stamp
RawTurtle,clearstamp
RawTurtle,clearstamps
RawTurtle,filling
RawTurtle,begin_fill
RawTurtle,end_fill
RawTurtle,dot
RawTurtle,write
RawTurtle,begin_poly
RawTurtle,end_poly
RawTurtle,get_poly
RawTurtle,getscreen
RawTurtle,getturtle
RawTurtle,onclick
RawTurtle,onrelease
RawTurtle,ondrag
RawTurtle,undo
_Screen,setup
_Screen,title
_Screen,bye
_Screen,exitonclick
