class,func
None,runtime_checkable
None,cast
None,get_type_hints
None,get_origin
None,get_args
None,no_type_check
None,no_type_check_decorator
None,overload
None,final
None,NewType
_GenericAlias,copy_with
IO,mode
IO,name
IO,close
IO,closed
IO,fileno
IO,flush
IO,isatty
IO,read
IO,readable
IO,readline
IO,readlines
IO,seek
IO,seekable
IO,tell
IO,truncate
IO,writable
IO,write
IO,writelines
BinaryIO,write
TextIO,buffer
TextIO,encoding
TextIO,errors
TextIO,line_buffering
TextIO,newlines
