class,func
None,patch
None,create_autospec
None,mock_open
None,seal
NonCallableMock,attach_mock
NonCallableMock,mock_add_spec
NonCallableMock,reset_mock
NonCallableMock,configure_mock
NonCallableMock,assert_not_called
NonCallableMock,assert_called
NonCallableMock,assert_called_once
NonCallableMock,assert_called_with
NonCallableMock,assert_called_once_with
NonCallableMock,assert_has_calls
NonCallableMock,assert_any_call
_patch,copy
_patch,decorate_class
_patch,decoration_helper
_patch,decorate_callable
_patch,decorate_async_callable
_patch,get_original
_patch,start
_patch,stop
_patch_dict,decorate_class
NonCallableMagicMock,mock_add_spec
MagicMock,mock_add_spec
MagicProxy,create_mock
AsyncMockMixin,assert_awaited
AsyncMockMixin,assert_awaited_once
AsyncMockMixin,assert_awaited_with
AsyncMockMixin,assert_awaited_once_with
AsyncMockMixin,assert_any_await
AsyncMockMixin,assert_has_awaits
AsyncMockMixin,assert_not_awaited
AsyncMockMixin,reset_mock
_Call,count
_Call,index
_Call,args
_Call,kwargs
_Call,call_list
