class,func
None,urlopen
None,install_opener
None,urlretrieve
None,urlcleanup
None,request_host
None,build_opener
None,parse_keqv_list
None,parse_http_list
None,url2pathname
None,pathname2url
None,localhost
None,thishost
None,ftperrors
None,noheaders
None,getproxies_environment
None,proxy_bypass_environment
None,proxy_bypass_macosx_sysconf
None,getproxies_macosx_sysconf
None,proxy_bypass
None,getproxies
None,getproxies_registry
None,proxy_bypass_registry
Request,full_url
Request,data
Request,get_method
Request,get_full_url
Request,set_proxy
Request,has_proxy
Request,add_header
Request,add_unredirected_header
Request,has_header
Request,get_header
Request,remove_header
Request,header_items
OpenerDirector,add_handler
OpenerDirector,close
OpenerDirector,open
OpenerDirector,error
BaseHandler,add_parent
BaseHandler,close
HTTPErrorProcessor,http_response
HTTPDefaultErrorHandler,http_error_default
HTTPRedirectHandler,redirect_request
HTTPRedirectHandler,http_error_302
ProxyHandler,proxy_open
HTTPPasswordMgr,add_password
HTTPPasswordMgr,find_user_password
HTTPPasswordMgr,reduce_uri
HTTPPasswordMgr,is_suburi
HTTPPasswordMgrWithDefaultRealm,find_user_password
HTTPPasswordMgrWithPriorAuth,add_password
HTTPPasswordMgrWithPriorAuth,update_authenticated
HTTPPasswordMgrWithPriorAuth,is_authenticated
AbstractBasicAuthHandler,http_error_auth_reqed
AbstractBasicAuthHandler,retry_http_basic_auth
AbstractBasicAuthHandler,http_request
AbstractBasicAuthHandler,http_response
HTTPBasicAuthHandler,http_error_401
ProxyBasicAuthHandler,http_error_407
AbstractDigestAuthHandler,reset_retry_count
AbstractDigestAuthHandler,http_error_auth_reqed
AbstractDigestAuthHandler,retry_http_digest_auth
AbstractDigestAuthHandler,get_cnonce
AbstractDigestAuthHandler,get_authorization
AbstractDigestAuthHandler,get_algorithm_impls
AbstractDigestAuthHandler,get_entity_digest
HTTPDigestAuthHandler,http_error_401
ProxyDigestAuthHandler,http_error_407
AbstractHTTPHandler,set_http_debuglevel
AbstractHTTPHandler,do_request_
AbstractHTTPHandler,do_open
HTTPHandler,http_open
HTTPSHandler,https_open
HTTPCookieProcessor,http_request
HTTPCookieProcessor,http_response
UnknownHandler,unknown_open
FileHandler,file_open
FileHandler,get_names
FileHandler,open_local_file
FTPHandler,ftp_open
FTPHandler,connect_ftp
CacheFTPHandler,setTimeout
CacheFTPHandler,setMaxConns
CacheFTPHandler,connect_ftp
CacheFTPHandler,check_cache
CacheFTPHandler,clear_cache
DataHandler,data_open
URLopener,close
URLopener,cleanup
URLopener,addheader
URLopener,open
URLopener,open_unknown
URLopener,open_unknown_proxy
URLopener,retrieve
URLopener,open_http
URLopener,http_error
URLopener,http_error_default
URLopener,open_https
URLopener,open_file
URLopener,open_local_file
URLopener,open_ftp
URLopener,open_data
FancyURLopener,http_error_default
FancyURLopener,http_error_302
FancyURLopener,redirect_internal
FancyURLopener,http_error_301
FancyURLopener,http_error_303
FancyURLopener,http_error_307
FancyURLopener,http_error_401
FancyURLopener,http_error_407
FancyURLopener,retry_proxy_http_basic_auth
FancyURLopener,retry_proxy_https_basic_auth
FancyURLopener,retry_http_basic_auth
FancyURLopener,retry_https_basic_auth
FancyURLopener,get_user_passwd
FancyURLopener,prompt_user_passwd
ftpwrapper,init
ftpwrapper,retrfile
ftpwrapper,endtransfer
ftpwrapper,close
ftpwrapper,file_close
ftpwrapper,real_close
