class,func
None,open
None,openfp
Wave_read,initfp
Wave_read,getfp
Wave_read,rewind
Wave_read,close
Wave_read,tell
Wave_read,getnchannels
Wave_read,getnframes
Wave_read,getsampwidth
Wave_read,getframerate
Wave_read,getcomptype
Wave_read,getcompname
Wave_read,getparams
Wave_read,getmarkers
Wave_read,getmark
Wave_read,setpos
Wave_read,readframes
Wave_write,initfp
Wave_write,setnchannels
Wave_write,getnchannels
Wave_write,setsampwidth
Wave_write,getsampwidth
Wave_write,setframerate
Wave_write,getframerate
Wave_write,setnframes
Wave_write,getnframes
Wave_write,setcomptype
Wave_write,getcomptype
Wave_write,getcompname
Wave_write,setparams
Wave_write,getparams
Wave_write,setmark
Wave_write,getmark
Wave_write,getmarkers
Wave_write,tell
Wave_write,writeframesraw
Wave_write,writeframes
Wave_write,close
