class,func
None,raise_conversion_error
Packer,reset
Packer,get_buffer
Packer,pack_uint
Packer,pack_int
Packer,pack_bool
Packer,pack_uhyper
Packer,pack_float
Packer,pack_double
Packer,pack_fstring
Packer,pack_string
Packer,pack_list
Packer,pack_farray
Packer,pack_array
Unpacker,reset
Unpacker,get_position
Unpacker,set_position
Unpacker,get_buffer
Unpacker,done
Unpacker,unpack_uint
Unpacker,unpack_int
Unpacker,unpack_bool
Unpacker,unpack_uhyper
Unpacker,unpack_hyper
Unpacker,unpack_float
Unpacker,unpack_double
Unpacker,unpack_fstring
Unpacker,unpack_string
Unpacker,unpack_list
Unpacker,unpack_farray
Unpacker,unpack_array
