class,func
None,parse
None,parseString
PullDOM,pop
PullDOM,setDocumentLocator
PullDOM,startPrefixMapping
PullDOM,endPrefixMapping
PullDOM,startElementNS
PullDOM,endElementNS
PullDOM,startElement
PullDOM,endElement
PullDOM,comment
PullDOM,processingInstruction
PullDOM,ignorableWhitespace
PullDOM,characters
PullDOM,startDocument
PullDOM,buildDocument
PullDOM,endDocument
PullDOM,clear
ErrorHandler,warning
ErrorHandler,error
ErrorHandler,fatalError
DOMEventStream,reset
DOMEventStream,expandNode
DOMEventStream,getEvent
DOMEventStream,clear
SAX2DOM,startElementNS
SAX2DOM,startElement
SAX2DOM,processingInstruction
SAX2DOM,ignorableWhitespace
SAX2DOM,characters
