class,func
None,iselement
None,SubElement
None,Comment
None,ProcessingInstruction
None,register_namespace
None,tostring
None,tostringlist
None,dump
None,parse
None,iterparse
None,XML
None,XMLID
None,fromstringlist
None,canonicalize
Element,makeelement
Element,copy
Element,append
Element,extend
Element,insert
Element,remove
Element,getchildren
Element,find
Element,findtext
Element,findall
Element,iterfind
Element,clear
Element,get
Element,set
Element,keys
Element,items
Element,iter
Element,getiterator
Element,itertext
ElementTree,getroot
ElementTree,parse
ElementTree,iter
ElementTree,getiterator
ElementTree,find
ElementTree,findtext
ElementTree,findall
ElementTree,iterfind
ElementTree,write
ElementTree,write_c14n
_ListDataStream,writable
_ListDataStream,seekable
_ListDataStream,write
_ListDataStream,tell
XMLPullParser,feed
XMLPullParser,close
XMLPullParser,read_events
TreeBuilder,close
TreeBuilder,data
TreeBuilder,start
TreeBuilder,end
TreeBuilder,comment
TreeBuilder,pi
XMLParser,feed
XMLParser,close
C14NWriterTarget,data
C14NWriterTarget,start_ns
C14NWriterTarget,start
C14NWriterTarget,end
C14NWriterTarget,comment
C14NWriterTarget,pi
