class,func
None,create_parser
ExpatLocator,getColumnNumber
ExpatLocator,getLineNumber
ExpatLocator,getPublicId
ExpatLocator,getSystemId
ExpatParser,parse
ExpatParser,prepareParser
ExpatParser,setContentHandler
ExpatParser,getFeature
ExpatParser,setFeature
ExpatParser,getProperty
ExpatParser,setProperty
ExpatParser,feed
ExpatParser,close
ExpatParser,reset
ExpatParser,getColumnNumber
ExpatParser,getLineNumber
ExpatParser,getPublicId
ExpatParser,getSystemId
ExpatParser,start_element
ExpatParser,end_element
ExpatParser,start_element_ns
ExpatParser,end_element_ns
ExpatParser,processing_instruction
ExpatParser,character_data
ExpatParser,start_namespace_decl
ExpatParser,end_namespace_decl
ExpatParser,start_doctype_decl
ExpatParser,unparsed_entity_decl
ExpatParser,notation_decl
ExpatParser,external_entity_ref
ExpatParser,skipped_entity_handler
