class,func
ErrorHandler,error
ErrorHandler,fatalError
ErrorHandler,warning
ContentHandler,setDocumentLocator
ContentHandler,startDocument
ContentHandler,endDocument
ContentHandler,startPrefixMapping
ContentHandler,endPrefixMapping
ContentHandler,startElement
ContentHandler,endElement
ContentHandler,startElementNS
ContentHandler,endElementNS
ContentHandler,characters
ContentHandler,ignorableWhitespace
ContentHandler,processingInstruction
ContentHandler,skippedEntity
DTDHandler,notationDecl
DTDHandler,unparsedEntityDecl
EntityResolver,resolveEntity
