class,func
None,escape
None,unescape
None,quoteattr
None,prepare_input_source
XMLGenerator,startDocument
XMLGenerator,endDocument
XMLGenerator,startPrefixMapping
XMLGenerator,endPrefixMapping
XMLGenerator,startElement
XMLGenerator,endElement
XMLGenerator,startElementNS
XMLGenerator,endElementNS
XMLGenerator,characters
XMLGenerator,ignorableWhitespace
XMLGenerator,processingInstruction
XMLFilterBase,error
XMLFilterBase,fatalError
XMLFilterBase,warning
XMLFilterBase,setDocumentLocator
XMLFilterBase,startDocument
XMLFilterBase,endDocument
XMLFilterBase,startPrefixMapping
XMLFilterBase,endPrefixMapping
XMLFilterBase,startElement
XMLFilterBase,endElement
XMLFilterBase,startElementNS
XMLFilterBase,endElementNS
XMLFilterBase,characters
XMLFilterBase,ignorableWhitespace
XMLFilterBase,processingInstruction
XMLFilterBase,skippedEntity
XMLFilterBase,notationDecl
XMLFilterBase,unparsedEntityDecl
XMLFilterBase,resolveEntity
XMLFilterBase,parse
XMLFilterBase,setLocale
XMLFilterBase,getFeature
XMLFilterBase,setFeature
XMLFilterBase,getProperty
XMLFilterBase,setProperty
XMLFilterBase,getParent
XMLFilterBase,setParent
