class,func
None,is_zipfile
None,main
ZipInfo,FileHeader
ZipInfo,from_file
ZipInfo,is_dir
LZMACompressor,compress
LZMACompressor,flush
LZMADecompressor,decompress
_SharedFile,seek
_SharedFile,read
_SharedFile,close
_Tellable,write
_Tellable,tell
_Tellable,flush
_Tellable,close
ZipExtFile,readline
ZipExtFile,peek
ZipExtFile,readable
ZipExtFile,read
ZipExtFile,read1
ZipExtFile,close
ZipExtFile,seekable
ZipExtFile,seek
ZipExtFile,tell
_ZipWriteFile,writable
_ZipWriteFile,write
_ZipWriteFile,close
ZipFile,namelist
ZipFile,infolist
ZipFile,printdir
ZipFile,testzip
ZipFile,getinfo
ZipFile,setpassword
ZipFile,comment
ZipFile,read
ZipFile,open
ZipFile,extract
ZipFile,extractall
ZipFile,write
ZipFile,writestr
ZipFile,close
PyZipFile,writepy
CompleteDirs,namelist
CompleteDirs,resolve_dir
CompleteDirs,make
FastLookup,namelist
Path,open
Path,name
Path,read_text
Path,read_bytes
Path,is_dir
Path,is_file
Path,exists
Path,iterdir
Path,joinpath
Path,parent
